INFO 2025-01-10 21:45:50,171 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1736137674.3527002
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1736137674.3887534
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\functional.py first seen with mtime 1736137674.372728
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1736137673.0869243
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1736137672.155851
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\MySQLdb\times.py first seen with mtime 1736137730.230024
DEBUG 2025-01-10 21:45:50,310 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\_colorize.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1736137674.198326
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1736137674.2803137
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1736137674.1950817
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1736137674.2858226
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1736137674.216875
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\asyncio\sslproto.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,311 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1736137672.407149
DEBUG 2025-01-10 21:45:50,312 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\PIL\_typing.py first seen with mtime 1736275116.321987
DEBUG 2025-01-10 21:45:50,312 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1736137672.4101532
DEBUG 2025-01-10 21:45:50,312 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\inspect.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,312 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\wsgiref\headers.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,312 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1736137674.358214
DEBUG 2025-01-10 21:45:50,312 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\PIL\_version.py first seen with mtime 1736275116.3229876
DEBUG 2025-01-10 21:45:50,313 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1736137674.3507004
DEBUG 2025-01-10 21:45:50,313 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\MySQLdb\constants\__init__.py first seen with mtime 1736137730.2330227
DEBUG 2025-01-10 21:45:50,313 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\email\encoders.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,313 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,313 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\paginator.py first seen with mtime 1736137674.1940808
DEBUG 2025-01-10 21:45:50,313 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1736137672.9013977
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1736137674.2424357
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\utils\version.py first seen with mtime 1736137674.3812432
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1736137674.1910806
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1736137674.286829
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1736137674.3842442
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\channels\exceptions.py first seen with mtime 1736252440.9789271
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1736137674.189081
DEBUG 2025-01-10 21:45:50,314 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1736137672.416736
DEBUG 2025-01-10 21:45:50,315 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1736137674.2701168
DEBUG 2025-01-10 21:45:50,315 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1736137674.245941
DEBUG 2025-01-10 21:45:50,315 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1736137673.6627743
DEBUG 2025-01-10 21:45:50,315 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1736137671.7449307
DEBUG 2025-01-10 21:45:50,316 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1736137674.1900806
DEBUG 2025-01-10 21:45:50,316 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,316 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1736137674.207846
DEBUG 2025-01-10 21:45:50,317 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1736137673.0764022
DEBUG 2025-01-10 21:45:50,317 autoreload File C:\Users\Huan\AppData\Local\Programs\Python\Python313\Lib\html\__init__.py first seen with mtime 1728271608.0
DEBUG 2025-01-10 21:45:50,317 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1736137674.2248802
DEBUG 2025-01-10 21:45:50,317 autoreload File C:\Users\Huan\Desktop\VLLJUDGE\.venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1736137674.2269201
